hs_contact_id,sf_lead_id,match_confidence
HS-000904,LEAD-000904,high
HS-000905,LEAD-000905,high
HS-000906,LEAD-000906,high
HS-000907,LEAD-000907,high
HS-000908,LEAD-000908,high
HS-000909,LEAD-000909,high
HS-000910,LEAD-000910,high
HS-000911,LEAD-000911,high
HS-000912,LEAD-000912,high
HS-000913,LEAD-000913,high
HS-000914,LEAD-000914,high
HS-000915,LEAD-000915,high
HS-000916,LEAD-000916,high
HS-000917,LEAD-000917,high
HS-000918,LEAD-000918,high
HS-000919,LEAD-000919,high
HS-000920,LEAD-000920,high
HS-000921,LEAD-000921,high
HS-000922,LEAD-000922,high
HS-000923,LEAD-000923,high
HS-000924,LEAD-000924,high
HS-000925,LEAD-000925,high
HS-000926,LEAD-000926,high
HS-000927,LEAD-000927,high
HS-000928,LEAD-000928,high
HS-000929,LEAD-000929,high
HS-000930,LEAD-000930,high
HS-000931,LEAD-000931,high
HS-000932,LEAD-000932,high
HS-000933,LEAD-000933,high
HS-000934,LEAD-000934,high
HS-000935,LEAD-000935,high
HS-000936,LEAD-000936,high
HS-000937,LEAD-000937,high
HS-000938,LEAD-000938,high
HS-000939,LEAD-000939,high
HS-000940,,low
HS-000941,LEAD-000941,high
HS-000942,LEAD-000942,high
HS-000943,LEAD-000943,high
HS-000944,LEAD-000944,high
HS-000945,LEAD-000945,high
HS-000946,LEAD-000946,high
HS-000947,LEAD-000947,high
HS-000948,LEAD-000948,high
HS-000949,,low
HS-000950,LEAD-000950,high
HS-000951,LEAD-000951,high
HS-000952,LEAD-000952,high
HS-000953,,low
HS-000954,LEAD-000954,high
HS-000955,LEAD-000955,high
HS-000956,LEAD-000956,high
HS-000957,,low
HS-000958,LEAD-000958,high
HS-000959,LEAD-000959,high
HS-000960,LEAD-000960,high
HS-000961,LEAD-000961,high
HS-000962,LEAD-000962,high
HS-000963,LEAD-000963,high
HS-000964,LEAD-000964,high
HS-000965,LEAD-000965,high
HS-000966,,low
HS-000967,LEAD-000967,high
HS-000968,LEAD-000968,high
HS-000969,LEAD-000969,high
HS-000970,LEAD-000970,high
HS-000971,LEAD-000971,high
HS-000972,LEAD-000972,high
HS-000973,LEAD-000973,high
HS-000974,,low
HS-000975,LEAD-000975,high
HS-000976,LEAD-000976,high
HS-000977,,low
HS-000978,LEAD-000978,high
HS-000979,,low
HS-000980,LEAD-000980,high
HS-000981,LEAD-000981,high
HS-000982,LEAD-000982,high
HS-000983,LEAD-000983,high
HS-000984,LEAD-000984,high
HS-000985,LEAD-000985,high
HS-000986,LEAD-000986,high
HS-000987,LEAD-000987,high
HS-000988,,low
HS-000989,LEAD-000989,high
HS-000990,,low
HS-000991,LEAD-000991,high
HS-000992,LEAD-000992,high
HS-000993,LEAD-000993,high
HS-000994,LEAD-000994,high
HS-000995,LEAD-000995,high
HS-000996,LEAD-000996,high
HS-000997,LEAD-000997,high
HS-000998,LEAD-000998,high
HS-000999,LEAD-000999,high
HS-001000,LEAD-001000,high
HS-001001,LEAD-001001,high
HS-001002,LEAD-001002,high
HS-001003,LEAD-001003,high
HS-001004,LEAD-001004,high
HS-001005,LEAD-001005,high
HS-001006,LEAD-001006,high
HS-001007,LEAD-001007,high
HS-001008,LEAD-001008,high
HS-001009,,low
HS-001010,LEAD-001010,high
HS-001011,LEAD-001011,high
HS-001012,LEAD-001012,high
HS-001013,LEAD-001013,high
HS-001014,LEAD-001014,high
HS-001015,LEAD-001015,high
HS-001016,LEAD-001016,high
HS-001017,LEAD-001017,high
HS-001018,LEAD-001018,high
HS-001019,,low
HS-001020,LEAD-001020,high
HS-001021,,low
HS-001022,LEAD-001022,high
HS-001023,LEAD-001023,high
HS-001024,LEAD-001024,high
HS-001025,LEAD-001025,high
HS-001026,,low
HS-001027,,low
HS-001028,LEAD-001028,high
HS-001029,,low
HS-001030,LEAD-001030,high
HS-001031,LEAD-001031,high
HS-001032,,low
HS-001033,LEAD-001033,high
HS-001034,LEAD-001034,high
HS-001035,LEAD-001035,high
HS-001036,LEAD-001036,high
HS-001037,LEAD-001037,high
HS-001038,LEAD-001038,high
HS-001039,,low
HS-001040,LEAD-001040,high
HS-001041,LEAD-001041,high
HS-001042,LEAD-001042,high
HS-001043,LEAD-001043,high
HS-001044,LEAD-001044,high
HS-001045,LEAD-001045,high
HS-001046,LEAD-001046,high
HS-001047,LEAD-001047,high
HS-001048,LEAD-001048,high
HS-001049,LEAD-001049,high
HS-001050,LEAD-001050,high
HS-001051,LEAD-001051,high
HS-001052,LEAD-001052,high
HS-001053,LEAD-001053,high
HS-001054,LEAD-001054,high
HS-001055,LEAD-001055,high
HS-001056,LEAD-001056,high
HS-001057,LEAD-001057,high
HS-001058,LEAD-001058,high
HS-001059,LEAD-001059,high
HS-001060,LEAD-001060,high
HS-001061,LEAD-001061,high
HS-001062,LEAD-001062,high
HS-001063,LEAD-001063,high
HS-001064,LEAD-001064,high
HS-001065,,low
HS-001066,,low
HS-001067,LEAD-001067,high
HS-001068,LEAD-001068,high
HS-001069,LEAD-001069,high
HS-001070,LEAD-001070,high
HS-001071,LEAD-001071,high
HS-001072,LEAD-001072,high
HS-001073,LEAD-001073,high
HS-001074,LEAD-001074,high
HS-001075,,low
HS-001076,LEAD-001076,high
HS-001077,,low
HS-001078,LEAD-001078,high
HS-001079,LEAD-001079,high
HS-001080,LEAD-001080,high
HS-001081,LEAD-001081,high
HS-001082,LEAD-001082,high
HS-001083,LEAD-001083,high
HS-001084,LEAD-001084,high
HS-001085,LEAD-001085,high
HS-001086,LEAD-001086,high
HS-001087,LEAD-001087,high
HS-001088,LEAD-001088,high
HS-001089,LEAD-001089,high
HS-001090,LEAD-001090,high
HS-001091,,low
HS-001092,LEAD-001092,high
HS-001093,LEAD-001093,high
HS-001094,LEAD-001094,high
HS-001095,LEAD-001095,high
HS-001096,LEAD-001096,high
HS-001097,LEAD-001097,high
HS-001098,LEAD-001098,high
HS-001099,LEAD-001099,high
HS-001100,LEAD-001100,high
HS-001101,LEAD-001101,high
HS-001102,LEAD-001102,high
HS-001103,LEAD-001103,high
HS-001104,LEAD-001104,high
HS-001105,LEAD-001105,high
HS-001106,LEAD-001106,high
HS-001107,LEAD-001107,high
HS-001108,LEAD-001108,high
HS-001109,LEAD-001109,high
HS-001110,LEAD-001110,high
HS-001111,LEAD-001111,high
HS-001112,LEAD-001112,high
HS-001113,LEAD-001113,high
HS-001114,LEAD-001114,high
HS-001115,LEAD-001115,high
HS-001116,LEAD-001116,high
HS-001117,LEAD-001117,high
HS-001118,LEAD-001118,high
HS-001119,LEAD-001119,high
HS-001120,LEAD-001120,high
HS-001121,LEAD-001121,high
HS-001122,LEAD-001122,high
HS-001123,LEAD-001123,high
HS-001124,LEAD-001124,high
HS-001125,LEAD-001125,high
HS-001126,LEAD-001126,high
HS-001127,LEAD-001127,high
HS-001128,LEAD-001128,high
HS-001129,LEAD-001129,high
HS-001130,LEAD-001130,high
HS-001131,LEAD-001131,high
HS-001132,LEAD-001132,high
HS-001133,LEAD-001133,high
HS-001134,LEAD-001134,high
HS-001135,LEAD-001135,high
HS-001136,LEAD-001136,high
HS-001137,LEAD-001137,high
HS-001138,LEAD-001138,high
HS-001139,LEAD-001139,high
HS-001140,LEAD-001140,high
HS-001141,LEAD-001141,high
HS-001142,LEAD-001142,high
HS-001143,LEAD-001143,high
HS-001144,LEAD-001144,high
HS-001145,LEAD-001145,high
HS-001146,LEAD-001146,high
HS-001147,LEAD-001147,high
HS-001148,LEAD-001148,high
HS-001149,LEAD-001149,high
HS-001150,LEAD-001150,high
HS-001151,LEAD-001151,high
HS-001152,LEAD-001152,high
HS-001153,,low
HS-001154,LEAD-001154,high
HS-001155,LEAD-001155,high
HS-001156,,low
HS-001157,LEAD-001157,high
HS-001158,LEAD-001158,high
HS-001159,LEAD-001159,high
HS-001160,LEAD-001160,high
HS-001161,LEAD-001161,high
HS-001162,LEAD-001162,high
HS-001163,LEAD-001163,high
HS-001164,LEAD-001164,high
HS-001165,LEAD-001165,high
HS-001166,LEAD-001166,high
HS-001167,LEAD-001167,high
HS-001168,LEAD-001168,high
HS-001169,LEAD-001169,high
HS-001170,LEAD-001170,high
HS-001171,LEAD-001171,high
HS-001172,LEAD-001172,high
HS-001173,LEAD-001173,high
HS-001174,LEAD-001174,high
HS-001175,,low
HS-001176,LEAD-001176,high
HS-001177,LEAD-001177,high
HS-001178,LEAD-001178,high
HS-001179,LEAD-001179,high
HS-001180,LEAD-001180,high
HS-001181,LEAD-001181,high
HS-001182,LEAD-001182,high
HS-001183,LEAD-001183,high
HS-001184,LEAD-001184,high
HS-001185,LEAD-001185,high
HS-001186,LEAD-001186,high
HS-001187,LEAD-001187,high
HS-001188,LEAD-001188,high
HS-001189,LEAD-001189,high
HS-001190,LEAD-001190,high
HS-001191,LEAD-001191,high
HS-001192,LEAD-001192,high
HS-001193,LEAD-001193,high
HS-001194,LEAD-001194,high
HS-001195,LEAD-001195,high
HS-001196,,low
HS-001197,LEAD-001197,high
HS-001198,LEAD-001198,high
HS-001199,LEAD-001199,high
HS-001200,LEAD-001200,high
HS-001201,LEAD-001201,high
HS-001202,LEAD-001202,high
HS-001203,LEAD-001203,high
HS-001204,,low
HS-001205,LEAD-001205,high
HS-001206,LEAD-001206,high
HS-001207,LEAD-001207,high
HS-001208,LEAD-001208,high
HS-001209,LEAD-001209,high
HS-001210,LEAD-001210,high
HS-001211,LEAD-001211,high
HS-001212,LEAD-001212,high
HS-001213,LEAD-001213,high
HS-001214,,low
HS-001215,,low
HS-001216,LEAD-001216,high
HS-001217,LEAD-001217,high
HS-001218,,low
HS-001219,LEAD-001219,high
HS-001220,LEAD-001220,high
HS-001221,LEAD-001221,high
HS-001222,LEAD-001222,high
HS-001223,LEAD-001223,high
HS-001224,LEAD-001224,high
HS-001225,LEAD-001225,high
HS-001226,LEAD-001226,high
HS-001227,LEAD-001227,high
HS-001228,LEAD-001228,high
HS-001229,,low
HS-001230,LEAD-001230,high
HS-001231,LEAD-001231,high
HS-001232,LEAD-001232,high
HS-001233,LEAD-001233,high
HS-001234,,low
HS-001235,,low
HS-001236,LEAD-001236,high
HS-001237,LEAD-001237,high
HS-001238,LEAD-001238,high
HS-001239,LEAD-001239,high
HS-001240,LEAD-001240,high
HS-001241,,low
HS-001242,LEAD-001242,high
HS-001243,,low
HS-001244,LEAD-001244,high
HS-001245,LEAD-001245,high
HS-001246,LEAD-001246,high
HS-001247,LEAD-001247,high
HS-001248,LEAD-001248,high
HS-001249,LEAD-001249,high
HS-001250,LEAD-001250,high
HS-001251,LEAD-001251,high
HS-001252,LEAD-001252,high
HS-001253,LEAD-001253,high
HS-001254,,low
HS-001255,LEAD-001255,high
HS-001256,LEAD-001256,high
HS-001257,LEAD-001257,high
HS-001258,LEAD-001258,high
HS-001259,,low
HS-001260,LEAD-001260,high
HS-001261,LEAD-001261,high
HS-001262,LEAD-001262,high
HS-001263,LEAD-001263,high
HS-001264,,low
HS-001265,LEAD-001265,high
HS-001266,LEAD-001266,high
HS-001267,LEAD-001267,high
HS-001268,LEAD-001268,high
HS-001269,LEAD-001269,high
HS-001270,LEAD-001270,high
HS-001271,LEAD-001271,high
HS-001272,LEAD-001272,high
HS-001273,LEAD-001273,high
HS-001274,LEAD-001274,high
HS-001275,LEAD-001275,high
HS-001276,LEAD-001276,high
HS-001277,,low
HS-001278,LEAD-001278,high
HS-001279,LEAD-001279,high
HS-001280,LEAD-001280,high
HS-001281,LEAD-001281,high
HS-001282,LEAD-001282,high
HS-001283,LEAD-001283,high
HS-001284,LEAD-001284,high
HS-001285,LEAD-001285,high
HS-001286,LEAD-001286,high
HS-001287,LEAD-001287,high
HS-001288,LEAD-001288,high
HS-001289,LEAD-001289,high
HS-001290,LEAD-001290,high
HS-001291,LEAD-001291,high
HS-001292,LEAD-001292,high
HS-001293,,low
HS-001294,,low
HS-001295,LEAD-001295,high
HS-001296,LEAD-001296,high
HS-001297,LEAD-001297,high
HS-001298,LEAD-001298,high
HS-001299,LEAD-001299,high
HS-001300,LEAD-001300,high
HS-001301,LEAD-001301,high
HS-001302,LEAD-001302,high
HS-001303,LEAD-001303,high
HS-001304,,low
HS-001305,LEAD-001305,high
HS-001306,LEAD-001306,high
HS-001307,LEAD-001307,high
HS-001308,LEAD-001308,high
HS-001309,LEAD-001309,high
HS-001310,LEAD-001310,high
HS-001311,LEAD-001311,high
HS-001312,LEAD-001312,high
HS-001313,LEAD-001313,high
HS-001314,,low
HS-001315,LEAD-001315,high
HS-001316,LEAD-001316,high
HS-001317,LEAD-001317,high
HS-001318,LEAD-001318,high
HS-001319,LEAD-001319,high
HS-001320,LEAD-001320,high
HS-001321,LEAD-001321,high
HS-001322,LEAD-001322,high
HS-001323,LEAD-001323,high
HS-001324,LEAD-001324,high
HS-001325,LEAD-001325,high
HS-001326,LEAD-001326,high
HS-001327,LEAD-001327,high
HS-001328,LEAD-001328,high
HS-001329,LEAD-001329,high
HS-001330,LEAD-001330,high
HS-001331,LEAD-001331,high
HS-001332,LEAD-001332,high
HS-001333,LEAD-001333,high
HS-001334,LEAD-001334,high
HS-001335,LEAD-001335,high
HS-001336,LEAD-001336,high
HS-001337,LEAD-001337,high
HS-001338,LEAD-001338,high
HS-001339,LEAD-001339,high
HS-001340,LEAD-001340,high
HS-001341,LEAD-001341,high
HS-001342,LEAD-001342,high
HS-001343,LEAD-001343,high
HS-001344,LEAD-001344,high
HS-001345,LEAD-001345,high
HS-001346,LEAD-001346,high
HS-001347,LEAD-001347,high
HS-001348,LEAD-001348,high
HS-001349,LEAD-001349,high
HS-001350,LEAD-001350,high
HS-001351,,low
HS-001352,LEAD-001352,high
HS-001353,LEAD-001353,high
HS-001354,LEAD-001354,high
HS-001355,LEAD-001355,high
HS-001356,,low
HS-001357,LEAD-001357,high
HS-001358,LEAD-001358,high
HS-001359,LEAD-001359,high
HS-001360,LEAD-001360,high
HS-001361,LEAD-001361,high
HS-001362,LEAD-001362,high
HS-001363,LEAD-001363,high
HS-001364,,low
HS-001365,LEAD-001365,high
HS-001366,LEAD-001366,high
HS-001367,,low
HS-001368,LEAD-001368,high
HS-001369,LEAD-001369,high
HS-001370,LEAD-001370,high
HS-001371,LEAD-001371,high
HS-001372,LEAD-001372,high
HS-001373,LEAD-001373,high
HS-001374,LEAD-001374,high
HS-001375,,low
HS-001376,LEAD-001376,high
HS-001377,,low
HS-001378,LEAD-001378,high
HS-001379,LEAD-001379,high
HS-001380,LEAD-001380,high
HS-001381,LEAD-001381,high
HS-001382,LEAD-001382,high
HS-001383,LEAD-001383,high
HS-001384,LEAD-001384,high
HS-001385,LEAD-001385,high
HS-001386,LEAD-001386,high
HS-001387,LEAD-001387,high
HS-001388,LEAD-001388,high
HS-001389,LEAD-001389,high
HS-001390,LEAD-001390,high
HS-001391,,low
HS-001392,LEAD-001392,high
HS-001393,LEAD-001393,high
HS-001394,LEAD-001394,high
HS-001395,LEAD-001395,high
HS-001396,LEAD-001396,high
HS-001397,LEAD-001397,high
HS-001398,LEAD-001398,high
HS-001399,LEAD-001399,high
HS-001400,LEAD-001400,high
HS-001401,LEAD-001401,high
HS-001402,LEAD-001402,high
HS-001403,LEAD-001403,high
HS-001404,LEAD-001404,high
HS-001405,LEAD-001405,high
HS-001406,LEAD-001406,high
HS-001407,LEAD-001407,high
HS-001408,LEAD-001408,high
HS-001409,LEAD-001409,high
HS-001410,LEAD-001410,high
HS-001411,LEAD-001411,high
HS-001412,LEAD-001412,high
HS-001413,LEAD-001413,high
HS-001414,,low
HS-001415,LEAD-001415,high
HS-001416,LEAD-001416,high
HS-001417,LEAD-001417,high
HS-001418,LEAD-001418,high
HS-001419,LEAD-001419,high
HS-001420,,low
HS-001421,LEAD-001421,high
HS-001422,LEAD-001422,high
HS-001423,LEAD-001423,high
HS-001424,LEAD-001424,high
HS-001425,LEAD-001425,high
HS-001426,LEAD-001426,high
HS-001427,LEAD-001427,high
HS-001428,LEAD-001428,high
HS-001429,LEAD-001429,high
HS-001430,LEAD-001430,high
HS-001431,LEAD-001431,high
HS-001432,LEAD-001432,high
HS-001433,LEAD-001433,high
HS-001434,LEAD-001434,high
HS-001435,LEAD-001435,high
HS-001436,LEAD-001436,high
HS-001437,LEAD-001437,high
HS-001438,LEAD-001438,high
HS-001439,LEAD-001439,high
HS-001440,LEAD-001440,high
HS-001441,LEAD-001441,high
HS-001442,LEAD-001442,high
HS-001443,LEAD-001443,high
HS-001444,LEAD-001444,high
HS-001445,LEAD-001445,high
HS-001446,LEAD-001446,high
HS-001447,LEAD-001447,high
HS-001448,LEAD-001448,high
HS-001449,LEAD-001449,high
HS-001450,LEAD-001450,high
HS-001451,LEAD-001451,high
HS-001452,LEAD-001452,high
HS-001453,LEAD-001453,high
HS-001454,LEAD-001454,high
HS-001455,LEAD-001455,high
HS-001456,LEAD-001456,high
HS-001457,LEAD-001457,high
HS-001458,LEAD-001458,high
HS-001459,LEAD-001459,high
HS-001460,LEAD-001460,high
HS-001461,LEAD-001461,high
HS-001462,LEAD-001462,high
HS-001463,LEAD-001463,high
HS-001464,LEAD-001464,high
HS-001465,LEAD-001465,high
HS-001466,LEAD-001466,high
HS-001467,LEAD-001467,high
HS-001468,LEAD-001468,high
HS-001469,LEAD-001469,high
HS-001470,LEAD-001470,high
HS-001471,LEAD-001471,high
HS-001472,LEAD-001472,high
HS-001473,LEAD-001473,high
HS-001474,LEAD-001474,high
HS-001475,LEAD-001475,high
HS-001476,LEAD-001476,high
HS-001477,LEAD-001477,high
HS-001478,LEAD-001478,high
HS-001479,LEAD-001479,high
HS-001480,LEAD-001480,high
HS-001481,LEAD-001481,high
HS-001482,LEAD-001482,high
HS-001483,,low
HS-001484,LEAD-001484,high
HS-001485,LEAD-001485,high
HS-001486,LEAD-001486,high
HS-001487,LEAD-001487,high
HS-001488,LEAD-001488,high
HS-001489,LEAD-001489,high
HS-001490,,low
HS-001491,LEAD-001491,high
HS-001492,LEAD-001492,high
HS-001493,LEAD-001493,high
HS-001494,LEAD-001494,high
HS-001495,LEAD-001495,high
HS-001496,LEAD-001496,high
HS-001497,LEAD-001497,high
HS-001498,LEAD-001498,high
HS-001499,LEAD-001499,high
HS-001500,LEAD-001500,high
HS-001501,LEAD-001501,high
HS-001502,LEAD-001502,high
HS-001503,,low
HS-001504,LEAD-001504,high
HS-001505,LEAD-001505,high
HS-001506,LEAD-001506,high
HS-001507,LEAD-001507,high
HS-001508,LEAD-001508,high
HS-001509,LEAD-001509,high
HS-001510,,low
HS-001511,LEAD-001511,high
HS-001512,LEAD-001512,high
HS-001513,LEAD-001513,high
HS-001514,LEAD-001514,high
HS-001515,LEAD-001515,high
HS-001516,LEAD-001516,high
HS-001517,LEAD-001517,high
HS-001518,LEAD-001518,high
HS-001519,LEAD-001519,high
HS-001520,LEAD-001520,high
HS-001521,LEAD-001521,high
HS-001522,LEAD-001522,high
HS-001523,LEAD-001523,high
HS-001524,LEAD-001524,high
HS-001525,LEAD-001525,high
HS-001526,,low
HS-001527,LEAD-001527,high
HS-001528,,low
HS-001529,LEAD-001529,high
HS-001530,LEAD-001530,high
HS-001531,LEAD-001531,high
HS-001532,,low
HS-001533,LEAD-001533,high
HS-001534,LEAD-001534,high
HS-001535,LEAD-001535,high
HS-001536,LEAD-001536,high
HS-001537,LEAD-001537,high
HS-001538,,low
HS-001539,LEAD-001539,high
HS-001540,LEAD-001540,high
HS-001541,LEAD-001541,high
HS-001542,LEAD-001542,high
HS-001543,LEAD-001543,high
HS-001544,LEAD-001544,high
HS-001545,LEAD-001545,high
HS-001546,LEAD-001546,high
HS-001547,LEAD-001547,high
HS-001548,LEAD-001548,high
HS-001549,LEAD-001549,high
HS-001550,LEAD-001550,high
HS-001551,LEAD-001551,high
HS-001552,LEAD-001552,high
HS-001553,LEAD-001553,high
HS-001554,LEAD-001554,high
HS-001555,LEAD-001555,high
HS-001556,LEAD-001556,high
HS-001557,LEAD-001557,high
HS-001558,LEAD-001558,high
HS-001559,LEAD-001559,high
HS-001560,LEAD-001560,high
HS-001561,LEAD-001561,high
HS-001562,LEAD-001562,high
HS-001563,LEAD-001563,high
HS-001564,LEAD-001564,high
HS-001565,LEAD-001565,high
HS-001566,LEAD-001566,high
HS-001567,LEAD-001567,high
HS-001568,LEAD-001568,high
HS-001569,LEAD-001569,high
HS-001570,LEAD-001570,high
HS-001571,,low
HS-001572,LEAD-001572,high
HS-001573,LEAD-001573,high
HS-001574,LEAD-001574,high
HS-001575,LEAD-001575,high
HS-001576,LEAD-001576,high
HS-001577,LEAD-001577,high
HS-001578,LEAD-001578,high
HS-001579,LEAD-001579,high
HS-001580,LEAD-001580,high
HS-001581,LEAD-001581,high
HS-001582,LEAD-001582,high
HS-001583,LEAD-001583,high
HS-001584,LEAD-001584,high
HS-001585,LEAD-001585,high
HS-001586,LEAD-001586,high
HS-001587,LEAD-001587,high
HS-001588,LEAD-001588,high
HS-001589,LEAD-001589,high
HS-001590,LEAD-001590,high
HS-001591,LEAD-001591,high
HS-001592,LEAD-001592,high
HS-001593,LEAD-001593,high
HS-001594,LEAD-001594,high
HS-001595,LEAD-001595,high
HS-001596,LEAD-001596,high
HS-001597,,low
HS-001598,LEAD-001598,high
HS-001599,LEAD-001599,high
HS-001600,LEAD-001600,high
HS-001601,LEAD-001601,high
HS-001602,LEAD-001602,high
HS-001603,LEAD-001603,high
HS-001604,LEAD-001604,high
HS-001605,,low
HS-001606,,low
HS-001607,LEAD-001607,high
HS-001608,LEAD-001608,high
HS-001609,LEAD-001609,high
HS-001610,LEAD-001610,high
HS-001611,LEAD-001611,high
HS-001612,LEAD-001612,high
HS-001613,LEAD-001613,high
HS-001614,LEAD-001614,high
HS-001615,LEAD-001615,high
HS-001616,LEAD-001616,high
HS-001617,LEAD-001617,high
HS-001618,LEAD-001618,high
HS-001619,LEAD-001619,high
HS-001620,LEAD-001620,high
HS-001621,LEAD-001621,high
HS-001622,LEAD-001622,high
HS-001623,LEAD-001623,high
HS-001624,LEAD-001624,high
HS-001625,LEAD-001625,high
HS-001626,LEAD-001626,high
HS-001627,LEAD-001627,high
HS-001628,LEAD-001628,high
HS-001629,LEAD-001629,high
HS-001630,LEAD-001630,high
HS-001631,LEAD-001631,high
HS-001632,LEAD-001632,high
HS-001633,LEAD-001633,high
HS-001634,LEAD-001634,high
HS-001635,LEAD-001635,high
HS-001636,LEAD-001636,high
HS-001637,LEAD-001637,high
HS-001638,LEAD-001638,high
HS-001639,LEAD-001639,high
HS-001640,LEAD-001640,high
HS-001641,,low
HS-001642,LEAD-001642,high
HS-001643,LEAD-001643,high
HS-001644,LEAD-001644,high
HS-001645,LEAD-001645,high
HS-001646,LEAD-001646,high
HS-001647,LEAD-001647,high
HS-001648,,low
HS-001649,LEAD-001649,high
HS-001650,,low
HS-001651,,low
HS-001652,LEAD-001652,high
HS-001653,LEAD-001653,high
HS-001654,LEAD-001654,high
HS-001655,LEAD-001655,high
HS-001656,LEAD-001656,high
HS-001657,LEAD-001657,high
HS-001658,LEAD-001658,high
HS-001659,LEAD-001659,high
HS-001660,LEAD-001660,high
HS-001661,,low
HS-001662,LEAD-001662,high
HS-001663,LEAD-001663,high
HS-001664,LEAD-001664,high
HS-001665,LEAD-001665,high
HS-001666,LEAD-001666,high
HS-001667,LEAD-001667,high
HS-001668,LEAD-001668,high
HS-001669,LEAD-001669,high
HS-001670,LEAD-001670,high
HS-001671,LEAD-001671,high
HS-001672,LEAD-001672,high
HS-001673,LEAD-001673,high
HS-001674,LEAD-001674,high
HS-001675,LEAD-001675,high
HS-001676,LEAD-001676,high
HS-001677,LEAD-001677,high
HS-001678,LEAD-001678,high
HS-001679,LEAD-001679,high
HS-001680,LEAD-001680,high
HS-001681,LEAD-001681,high
HS-001682,LEAD-001682,high
HS-001683,LEAD-001683,high
HS-001684,,low
HS-001685,LEAD-001685,high
HS-001686,LEAD-001686,high
HS-001687,LEAD-001687,high
HS-001688,LEAD-001688,high
HS-001689,LEAD-001689,high
HS-001690,LEAD-001690,high
HS-001691,LEAD-001691,high
HS-001692,LEAD-001692,high
HS-001693,LEAD-001693,high
HS-001694,LEAD-001694,high
HS-001695,LEAD-001695,high
HS-001696,LEAD-001696,high
HS-001697,LEAD-001697,high
HS-001698,LEAD-001698,high
HS-001699,LEAD-001699,high
HS-001700,LEAD-001700,high
HS-001701,LEAD-001701,high
HS-001702,LEAD-001702,high
HS-001703,LEAD-001703,high
HS-001704,LEAD-001704,high
HS-001705,LEAD-001705,high
HS-001706,LEAD-001706,high
HS-001707,LEAD-001707,high
HS-001708,LEAD-001708,high
HS-001709,LEAD-001709,high
HS-001710,LEAD-001710,high
HS-001711,LEAD-001711,high
HS-001712,LEAD-001712,high
HS-001713,LEAD-001713,high
HS-001714,LEAD-001714,high
HS-001715,LEAD-001715,high
HS-001716,LEAD-001716,high
HS-001717,LEAD-001717,high
HS-001718,LEAD-001718,high
HS-001719,LEAD-001719,high
HS-001720,LEAD-001720,high
HS-001721,LEAD-001721,high
HS-001722,LEAD-001722,high
HS-001723,LEAD-001723,high
HS-001724,LEAD-001724,high
HS-001725,LEAD-001725,high
HS-001726,LEAD-001726,high
HS-001727,LEAD-001727,high
HS-001728,LEAD-001728,high
HS-001729,LEAD-001729,high
HS-001730,LEAD-001730,high
HS-001731,LEAD-001731,high
HS-001732,LEAD-001732,high
HS-001733,LEAD-001733,high
HS-001734,LEAD-001734,high
HS-001735,,low
HS-001736,LEAD-001736,high
HS-001737,LEAD-001737,high
HS-001738,LEAD-001738,high
HS-001739,LEAD-001739,high
HS-001740,LEAD-001740,high
HS-001741,LEAD-001741,high
HS-001742,LEAD-001742,high
HS-001743,LEAD-001743,high
HS-001744,LEAD-001744,high
HS-001745,LEAD-001745,high
HS-001746,LEAD-001746,high
HS-001747,LEAD-001747,high
HS-001748,LEAD-001748,high
HS-001749,LEAD-001749,high
HS-001750,LEAD-001750,high
HS-001751,LEAD-001751,high
HS-001752,LEAD-001752,high
HS-001753,LEAD-001753,high
HS-001754,LEAD-001754,high
HS-001755,,low
HS-001756,LEAD-001756,high
HS-001757,LEAD-001757,high
HS-001758,LEAD-001758,high
HS-001759,LEAD-001759,high
HS-001760,LEAD-001760,high
HS-001761,LEAD-001761,high
HS-001762,LEAD-001762,high
HS-001763,LEAD-001763,high
HS-001764,LEAD-001764,high
HS-001765,LEAD-001765,high
HS-001766,LEAD-001766,high
HS-001767,LEAD-001767,high
HS-001768,LEAD-001768,high
HS-001769,LEAD-001769,high
HS-001770,LEAD-001770,high
HS-001771,LEAD-001771,high
HS-001772,LEAD-001772,high
HS-001773,LEAD-001773,high
HS-001774,LEAD-001774,high
HS-001775,LEAD-001775,high
HS-001776,LEAD-001776,high
HS-001777,LEAD-001777,high
HS-001778,LEAD-001778,high
HS-001779,LEAD-001779,high
HS-001780,,low
HS-001781,LEAD-001781,high
HS-001782,LEAD-001782,high
HS-001783,LEAD-001783,high
HS-001784,LEAD-001784,high
HS-001785,LEAD-001785,high
HS-001786,LEAD-001786,high
HS-001787,,low
HS-001788,LEAD-001788,high
HS-001789,LEAD-001789,high
HS-001790,LEAD-001790,high
HS-001791,LEAD-001791,high
HS-001792,LEAD-001792,high
HS-001793,LEAD-001793,high
HS-001794,LEAD-001794,high
HS-001795,LEAD-001795,high
HS-001796,LEAD-001796,high
HS-001797,LEAD-001797,high
HS-001798,LEAD-001798,high
HS-001799,LEAD-001799,high
HS-001800,LEAD-001800,high
HS-001801,LEAD-001801,high
HS-001802,LEAD-001802,high
HS-001803,LEAD-001803,high
HS-001804,LEAD-001804,high
HS-001805,LEAD-001805,high
HS-001806,LEAD-001806,high
HS-001807,LEAD-001807,high
HS-001808,LEAD-001808,high
HS-001809,LEAD-001809,high
